MeltingT_Site2_composition_average,NdValence_Site1_composition_average,GSestFCClatcnt_Site2_composition_average,AtomicRadii_min_value,ElectricalConductivity_min_value,BCCenergy_pa_Site2_composition_average,NdUnfilled_composition_average,Row_max_value,SecondIonizationEnergy_max_value,NdValence_difference,Column_Site2_composition_average,NdUnfilled_Site2_composition_average,GSenergy_pa_Site2_composition_average,valence_composition_average,CovalentRadii_Site2_composition_average,ThermalExpansionCoefficient_min_value,HeatFusion_composition_average,HeatFusion_Site2_composition_average,NdUnfilled_max_value,n_ws^third_max_value,HeatFusion_min_value,IonicRadii_min_value,SpaceGroupNumber_Site2_composition_average,NdValence_Site2_composition_average,Material compositions 1,Material compositions 2
14.01,10,2.979865165,0.32,10,-2.13581094,0,5,19.63,10,1,0,-3.331290765,2.5,0.32,0,8.4,0.06,0,1.67,0.06,0.64,194,0,Pd,H
0,10,3.664774046,0.5,10,-2.00067286,0,5,54.416,10,18,0,0.0011354,2,0.93,0,8.37,0,0,1.67,16.74,0.64,225,0,Pd,He
453.69,10,4.048845545,1.375,10,-1.86553478,0,5,76.638,10,1,0,-1.86988691,2.5,1.23,11.8,9.87,3,0,1.67,3,0.64,229,0,Pd,Li
1560,10,3.160183721,1.12,10,-3.65527191,0,5,19.63,10,2,0,-3.755038695,3,0.9,11.3,12.3175,7.895,0,1.67,7.895,0.45,194,0,Pd,Be
2348,10,3.061330249,0.98,5E-12,-4.96643126,0,5,25.154,10,13,0,-6.677698154,3.5,0.82,4.7,33.47,50.2,0,1.75,16.74,0.23,166,0,Pd,B
3823,10,2.825615289,0.91,0.07,-4.87176209,0,5,24.383,10,14,0,-9.209713655,4,0.77,1,67.07,117.4,0,1.77,16.74,0.16,194,0,Pd,C
63.05,10,3.894645292,0.92,10,-4.05718461,0,5,29.601,10,15,0,-8.21144121,4.5,0.75,11.8,8.5475,0.355,0,1.67,0.355,0.64,194,0,Pd,N
54.8,10,3.314718462,0.73,10,-2.45975161,0,5,35.117,10,16,0,-4.756791905,3,0.73,11.8,8.48,0.22,0,1.67,0.22,0.64,12,0,Pd,O
53.5,10,3.386276865,0.72,10,-0.82794713,0,5,34.97,10,17,0,-1.698060958,2.5,0.72,11.8,8.4975,0.255,0,1.67,0.255,0.64,15,0,Pd,F
24.56,10,3.697734186,0.71,10,-1.041215915,0,5,40.962,10,18,0,0.09403567,2,0.71,11.8,8.452,0.164,0,1.67,0.164,0.64,225,0,Pd,Ne
453.69,10,4.048845545,1.375,10,-1.86553478,0,5,76.638,10,1,0,-1.86988691,2.5,1.23,11.8,9.87,3,0,1.67,3,0.64,229,0,Pd,Li
370.87,10,4.890601634,1.375,10,-1.2544847,0,5,47.286,10,1,0,-1.260241383,2.5,1.54,11.8,9.67,2.6,0,1.67,2.6,0.64,229,0,Pd,Na
336.53,10,6.637517176,1.375,10,-1.096516,0,5,31.625,10,1,0,-1.097539713,2.5,2.03,11.8,9.5375,2.335,0,1.67,2.335,0.64,229,0,Pd,K
312.46,10,7.132771862,1.375,10,-0.96193707,0,5,27.28,10,1,0,-0.963335025,4,2.16,11.8,9.465,2.19,0,1.67,2.19,0.64,229,0,Pd,Rb
301.59,10,7.736521839,1.375,5.3,-0.85260163,0,6,25.1,10,1,0,-0.85462646,2.5,2.35,11.8,9.415,2.09,0,1.67,2.09,0.64,229,0,Pd,Cs
0,10,5.370818814,1.375,10,-3.92813716,0,7,19.63,10,1,0,-4.039348349,2.5,0,0,8.37,0,0,1.67,16.74,0.64,0,0,Pd,Fr
388.36,10,4.689784664,1.27,5E-16,-3.00278915,0,5,23.33,10,16,0,-4.097216719,5,1.02,11.8,9.2305,1.721,0,1.67,1.721,0.29,70,0,Pd,S
494,10,4.697841169,1.375,8,-2.90074111,0,5,21.19,0,16,0,-3.47079191,5,1.16,11.8,11.715,6.69,0,1.67,6.69,0.5,14,10,Pd,Se
722.66,10,5.180763906,1.375,0.0002,-2.83411842,0,5,19.63,0,16,0,-3.141302507,5,1.36,11.8,17.06,17.38,0,1.67,16.74,0.64,152,10,Pd,Te
527,10,5.370818814,1.375,0.7,-3.92813716,0,6,19.63,0,16,0,-4.039348349,5,1.53,11.8,13.37,10,0,1.67,10,0.64,221,10,Pd,Po
1814,10,4.463741557,1.375,1.5,-6.17209116,4.5,5,19.63,9,3,9,-6.28551309,3.5,1.44,10,15.42,14.1,9,1.67,14.1,0.64,194,1,Pd,Sc
1941,10,4.056692689,1.375,2.6,-7.66126811,4,5,19.63,8,4,8,-7.77522712,4,1.32,8.6,15.445,14.15,8,1.67,14.15,0.61,194,2,Pd,Ti
2183,10,3.733467966,1.321,4,-8.93926069,3.5,5,19.63,7,5,7,-8.93926069,4.5,1.22,8.4,19.12,21.5,7,1.67,16.74,0.54,229,3,Pd,V
2180,10,3.550558664,1.249,7.9,-9.50480758,2.5,5,19.63,5,6,5,-9.50571654,5,1.18,4.9,18.87,21,5,1.73,16.74,0.62,229,5,Pd,Cr
1519,10,3.474656242,1.24,0.5,-8.87041076,2.5,5,19.63,5,7,5,-9.02056525,5.5,1.17,11.8,14.825,12.91,5,1.67,12.91,0.64,217,5,Pd,Mn
1811,10,3.501224062,1.241,10,-8.28548436,2,5,19.63,4,8,4,-8.28548436,5,1.17,11.8,15.275,13.81,4,1.77,13.81,0.55,229,6,Pd,Fe
1768,10,3.447656463,1.253,10,-6.98008657,1.5,5,19.63,3,9,3,-7.080389145,3.5,1.16,11.8,16.47,16.2,3,1.75,16.2,0.64,194,7,Pd,Co
1728,10,3.456049039,1.246,10,-5.43913904,1,5,19.63,2,10,2,-5.54632457,3.5,1.15,11.8,17.11,17.48,2,1.75,16.74,0.64,225,8,Pd,Ni
1357.77,10,3.537821124,1.278,10,-3.64288728,0,5,20.292,0,11,0,-3.68065482,3,1.17,11.8,15.17,13.6,0,1.67,13.6,0.64,225,10,Pd,Cu
1799,10,5.058773104,1.375,1.8,-6.34029752,4.5,5,19.63,9,3,9,-6.464599775,3.5,1.62,11.3,14.065,11.39,9,1.67,11.39,0.64,194,1,Pd,Y
2128,10,4.527079516,1.375,2.3,-8.46727487,4,5,19.63,8,4,8,-8.545958555,4,1.45,5.7,18.87,21,8,1.67,16.74,0.64,194,2,Pd,Zr
2750,10,4.173988903,1.375,6.6,-10.09332153,3,5,19.63,6,5,6,-10.09332153,4.5,1.34,7.3,23.37,30,6,1.67,16.74,0.64,229,4,Pd,Nb
2896,10,3.973998007,1.362,10,-10.84610777,2.5,5,19.63,5,6,5,-10.84610777,5,1.3,4.8,27.11,37.48,5,1.77,16.74,0.59,229,5,Pd,Mo
2430,10,3.851649375,1.358,0.001,-10.09176138,2.5,5,19.63,5,7,5,-10.3551512,5.5,1.27,8,25.015,33.29,5,1.81,16.74,0.56,194,5,Pd,Tc
2607,10,3.780696194,1.325,10,-8.57093238,1.5,5,19.63,3,8,3,-9.19463357,6,1.25,6.4,27.665,38.59,3,1.83,16.74,0.62,194,7,Pd,Ru
1828.05,10,3.862851303,1.375,10,-5.0910129,0,5,19.63,0,10,0,-5.13777457,4,1.28,11.8,16.74,16.74,0,1.67,16.74,0.64,225,10,Pd,Pd
1234.93,10,4.027313074,1.375,10,-2.71997917,0,5,21.49,0,11,0,-2.76539356,3,1.34,11.8,14.02,11.3,0,1.67,11.3,0.64,225,10,Pd,Ag
