+------------+--------------+-----------------------+--------------------------------+
| Material   |   In domain? |   GPR predicted error |   0.92788 * RF predicted Error |
|------------+--------------+-----------------------+--------------------------------|
| Ag         |            1 |              0.461377 |                       0.139401 |
| Ag         |            1 |              0.375304 |                       0.594135 |
| Ag         |            0 |              0.386133 |                       0.879312 |
| Ag         |            1 |              0.370319 |                       0.281863 |
| Ag         |            1 |              0.384227 |                       0.752466 |
| Ag         |            1 |              0.407103 |                       0.690183 |
| Ag         |            1 |              0.379274 |                       0.482335 |
| Ag         |            1 |              0.432498 |                       0.454492 |
| Ag         |            0 |              0.429249 |                       0.80616  |
| Ag         |            1 |              0.38518  |                       0.698315 |
| Ag         |            1 |              0.40148  |                       0.227312 |
| Al         |            1 |              0.461377 |                       0.139401 |
| Al         |            1 |              0.375304 |                       0.594135 |
| Al         |            0 |              0.386133 |                       0.879312 |
| Al         |            1 |              0.370319 |                       0.281863 |
| Al         |            1 |              0.384227 |                       0.752466 |
| Al         |            1 |              0.407103 |                       0.690183 |
| Al         |            1 |              0.379274 |                       0.482335 |
| Al         |            1 |              0.432498 |                       0.454492 |
| Al         |            0 |              0.429249 |                       0.80616  |
| Al         |            1 |              0.38518  |                       0.698315 |
| Al         |            1 |              0.40148  |                       0.227312 |
| Al         |            1 |              0.544598 |                       0.39473  |
| Al         |            1 |              0.430283 |                       0.281396 |
| Al         |            1 |              0.426549 |                       0.311742 |
| Al         |            1 |              0.484445 |                       0.347325 |
| Al         |            1 |              0.419658 |                       0.290908 |
| Al         |            1 |              0.606727 |                       0.334799 |
| Al         |            1 |              0.341847 |                       0.242594 |
| Al         |            1 |              0.622955 |                       0.359182 |
| Al         |            0 |              0.332162 |                       0.81549  |
| Al         |            0 |              0.260838 |                       1.02548  |
| Al         |            1 |              0.394773 |                       0.379542 |
| Al         |            1 |              0.463231 |                       0.504616 |
| Al         |            0 |              0.301281 |                       0.87255  |
| Al         |            1 |              0.454691 |                       0.254214 |
| Al         |            1 |              0.434056 |                       0.483809 |
| Al         |            1 |              0.257747 |                       0.747901 |
| Al         |            1 |              0.470781 |                       0.258056 |
| Al         |            1 |              0.367995 |                       0.279695 |
| Al         |            0 |              0.39852  |                       0.825776 |
| Al         |            1 |              0.488062 |                       0.62085  |
| Al         |            1 |              0.487046 |                       0.28475  |
| Al         |            1 |              0.329505 |                       0.752184 |
| Al         |            1 |              0.296887 |                       0.703347 |
| Al         |            1 |              0.726286 |                       0.332999 |
| Al         |            1 |              0.318466 |                       0.757695 |
| Al         |            1 |              0.452715 |                       0.327086 |
| Al         |            1 |              0.351484 |                       0.658735 |
| Al         |            1 |              0.381627 |                       0.712438 |
| Al         |            1 |              0.729844 |                       0.392859 |
| Al         |            1 |              0.369088 |                       0.292228 |
| Al         |            1 |              0.372974 |                       0.634958 |
| Al         |            0 |              0.42425  |                       0.854652 |
| Al         |            1 |              0.32168  |                       0.477782 |
| Al         |            0 |              0.367777 |                       0.992263 |
| Al         |            0 |              0.342628 |                       0.804459 |
| Al         |            1 |              0.619446 |                       0.360608 |
| Al         |            1 |              0.330022 |                       0.274394 |
| Al         |            1 |              0.296114 |                       0.581818 |
| Al         |            1 |              0.49735  |                       0.373529 |
| Al         |            1 |              0.517612 |                       0.57127  |
+------------+--------------+-----------------------+--------------------------------+
+------------+--------------+-----------------------+--------------------------------+
| Material   |   In domain? |   GPR predicted error |   0.92788 * RF predicted Error |
|------------+--------------+-----------------------+--------------------------------|
| Ag         |            1 |              0.119275 |                       0.102523 |
| Ag         |            1 |              0.112843 |                       0.453275 |
| Ag         |            1 |              0.11613  |                       0.43936  |
| Ag         |            1 |              0.117994 |                       0.132411 |
| Ag         |            1 |              0.113691 |                       0.328192 |
| Ag         |            1 |              0.116841 |                       0.22396  |
| Ag         |            1 |              0.11442  |                       0.317879 |
| Ag         |            1 |              0.118486 |                       0.303503 |
| Ag         |            1 |              0.117481 |                       0.277734 |
| Ag         |            1 |              0.115348 |                       0.502759 |
| Ag         |            1 |              0.11869  |                       0.116918 |
| Au         |            1 |              0.348846 |                       0.20352  |
| Au         |            1 |              0.285059 |                       0.63186  |
| Au         |            1 |              0.380851 |                       0.799054 |
| Au         |            1 |              0.405525 |                       0.214703 |
| Au         |            1 |              0.301075 |                       0.595427 |
| Au         |            1 |              0.383078 |                       0.227399 |
| Au         |            1 |              0.229819 |                       0.70538  |
| Au         |            1 |              0.313189 |                       0.51002  |
| Au         |            1 |              0.311279 |                       0.531202 |
| Au         |            1 |              0.335587 |                       0.23264  |
| Au         |            1 |              0.255652 |                       0.716106 |
+------------+--------------+-----------------------+--------------------------------+
+------------+--------------+-----------------------+--------------------------------+
| Material   |   In domain? |   GPR predicted error |   0.92788 * RF predicted Error |
|------------+--------------+-----------------------+--------------------------------|
| Ag         |            1 |              0.111271 |                      0.0968977 |
| Ag         |            1 |              0.105702 |                      0.395608  |
