|   RF cutoff |   GPR cutoff |   Points in-domain |   Points out-domain |   In-Domain RMSE test score |   Out-Domain RMSE test score |   In-Domain RMSE test score |   Out-Domain RMSE test score |   In-Domain RMSE test score |   Out-Domain RMSE test score |   In-Domain RMSE test score |   Out-Domain RMSE test score |   In-Domain RMSE test score |   Out-Domain RMSE test score |   In-Domain Normalized-RMSE test score |   Out-Domain Normalized-RMSE test score |   In-Domain Normalized-RMSE test score |   Out-Domain Normalized-RMSE test score |   In-Domain Normalized-RMSE test score |   Out-Domain Normalized-RMSE test score |   In-Domain Normalized-RMSE test score |   Out-Domain Normalized-RMSE test score |   In-Domain Normalized-RMSE test score |   Out-Domain Normalized-RMSE test score |   In-Domain Log-RMSE test score |   Out-Domain Log-RMSE test score |   In-Domain Log-RMSE test score |   Out-Domain Log-RMSE test score |   In-Domain Log-RMSE test score |   Out-Domain Log-RMSE test score |   In-Domain Log-RMSE test score |   Out-Domain Log-RMSE test score |   In-Domain Log-RMSE test score |   Out-Domain Log-RMSE test score |   In-Domain Normalized-Log-RMSE test score |   Out-Domain Normalized-Log-RMSE test score |   In-Domain Normalized-Log-RMSE test score |   Out-Domain Normalized-Log-RMSE test score |   In-Domain Normalized-Log-RMSE test score |   Out-Domain Normalized-Log-RMSE test score |   In-Domain Normalized-Log-RMSE test score |   Out-Domain Normalized-Log-RMSE test score |   In-Domain Normalized-Log-RMSE test score |   Out-Domain Normalized-Log-RMSE test score |
|-------------|--------------|--------------------|---------------------|-----------------------------|------------------------------|-----------------------------|------------------------------|-----------------------------|------------------------------|-----------------------------|------------------------------|-----------------------------|------------------------------|----------------------------------------|-----------------------------------------|----------------------------------------|-----------------------------------------|----------------------------------------|-----------------------------------------|----------------------------------------|-----------------------------------------|----------------------------------------|-----------------------------------------|---------------------------------|----------------------------------|---------------------------------|----------------------------------|---------------------------------|----------------------------------|---------------------------------|----------------------------------|---------------------------------|----------------------------------|--------------------------------------------|---------------------------------------------|--------------------------------------------|---------------------------------------------|--------------------------------------------|---------------------------------------------|--------------------------------------------|---------------------------------------------|--------------------------------------------|---------------------------------------------|
|         0.5 |          0.5 |               4094 |                1618 |                     0.00456 |                      0.04587 |                     0.00042 |                      0.00204 |                     0.00011 |                      0.00052 |                     0.00003 |                      0.00014 |                     0.00000 |                      0.00003 |                              330.45605 |                              1266.68306 |                              101.31429 |                               209.62534 |                               48.51754 |                                93.25120 |                               23.86744 |                                49.72299 |                                9.92436 |                                22.65087 |                         5.39008 |                          3.08190 |                         7.76861 |                          6.19515 |                         9.11082 |                          7.55554 |                        10.48368 |                          8.86405 |                        12.24253 |                         10.53281 |                                    5.80047 |                                     7.14416 |                                    4.61823 |                                     5.34532 |                                    3.88193 |                                     4.53530 |                                    3.17251 |                                     3.90647 |                                    2.29499 |                                     3.12020 |
|         0.5 |          0.6 |               4295 |                1417 |                     0.00426 |                      0.04039 |                     0.00040 |                      0.00174 |                     0.00010 |                      0.00045 |                     0.00003 |                      0.00012 |                     0.00000 |                      0.00002 |                              297.35011 |                              1025.32226 |                              102.44616 |                               170.52908 |                               48.50489 |                                75.47781 |                               23.77491 |                                38.74424 |                                9.99537 |                                17.59745 |                         5.45858 |                          3.20909 |                         7.82138 |                          6.35498 |                         9.16672 |                          7.69949 |                        10.53834 |                          9.00806 |                        12.29529 |                         10.66185 |                                    5.69491 |                                     6.93276 |                                    4.62934 |                                     5.13891 |                                    3.88166 |                                     4.32384 |                                    3.16863 |                                     3.65698 |                                    2.30212 |                                     2.86775 |
|         0.5 |          0.7 |               4385 |                1327 |                     0.00422 |                      0.03698 |                     0.00040 |                      0.00158 |                     0.00010 |                      0.00041 |                     0.00003 |                      0.00011 |                     0.00000 |                      0.00002 |                              302.21705 |                               886.82245 |                              103.34278 |                               144.15874 |                               48.78886 |                                63.85599 |                               24.07018 |                                33.34296 |                               10.01506 |                                15.44285 |                         5.46676 |                          3.29732 |                         7.83599 |                          6.45127 |                         9.18119 |                          7.79336 |                        10.55355 |                          9.09382 |                        12.31503 |                         10.71798 |                                    5.71115 |                                     6.78764 |                                    4.63805 |                                     4.97092 |                                    3.88750 |                                     4.15663 |                                    3.18097 |                                     3.50685 |                                    2.30409 |                                     2.73715 |
|         0.5 |          0.8 |               4413 |                1299 |                     0.00424 |                      0.03430 |                     0.00039 |                      0.00148 |                     0.00010 |                      0.00039 |                     0.00003 |                      0.00011 |                     0.00000 |                      0.00002 |                              304.04796 |                               859.90023 |                              102.93069 |                               133.89203 |                               48.44995 |                                59.06113 |                               23.92796 |                                30.38624 |                                9.99035 |                                14.55250 |                         5.46207 |                          3.37248 |                         7.84667 |                          6.51615 |                         9.19142 |                          7.85527 |                        10.56388 |                          9.16012 |                        12.32475 |                         10.75746 |                                    5.71719 |                                     6.75682 |                                    4.63406 |                                     4.89703 |                                    3.88053 |                                     4.07857 |                                    3.17505 |                                     3.41399 |                                    2.30162 |                                     2.67776 |
|         0.5 |          0.9 |               4447 |                1265 |                     0.00420 |                      0.03286 |                     0.00038 |                      0.00144 |                     0.00010 |                      0.00038 |                     0.00003 |                      0.00010 |                     0.00000 |                      0.00002 |                              308.44665 |                               844.63979 |                              102.21072 |                               129.86589 |                               47.79915 |                                56.17690 |                               23.59957 |                                29.16238 |                                9.93416 |                                14.06305 |                         5.47303 |                          3.41561 |                         7.86253 |                          6.54094 |                         9.20617 |                          7.87398 |                        10.57854 |                          9.17945 |                        12.33821 |                         10.76160 |                                    5.73155 |                                     6.73891 |                                    4.62704 |                                     4.86650 |                                    3.86701 |                                     4.02851 |                                    3.16123 |                                     3.37288 |                                    2.29598 |                                     2.64355 |
|         0.5 |          1.0 |               4459 |                1253 |                     0.00413 |                      0.03310 |                     0.00038 |                      0.00146 |                     0.00010 |                      0.00038 |                     0.00003 |                      0.00010 |                     0.00000 |                      0.00002 |                              309.27664 |                               834.77444 |                              102.03183 |                               129.08901 |                               47.74860 |                                55.42123 |                               23.58347 |                                28.94718 |                                9.90396 |                                13.97952 |                         5.48841 |                          3.40832 |                         7.86941 |                          6.52825 |                         9.21304 |                          7.86381 |                        10.58574 |                          9.16853 |                        12.34506 |                         10.75769 |                                    5.73424 |                                     6.72716 |                                    4.62528 |                                     4.86050 |                                    3.86595 |                                     4.01496 |                                    3.16055 |                                     3.36547 |                                    2.29293 |                                     2.63759 |
|         0.5 |          1.1 |               4466 |                1246 |                     0.00414 |                      0.03264 |                     0.00038 |                      0.00143 |                     0.00010 |                      0.00037 |                     0.00003 |                      0.00010 |                     0.00000 |                      0.00002 |                              308.55904 |                               831.82205 |                              102.51666 |                               126.87753 |                               47.80936 |                                53.28527 |                               23.67008 |                                27.66939 |                                9.91961 |                                13.65779 |                         5.48720 |                          3.42217 |                         7.86807 |                          6.54841 |                         9.21170 |                          7.88910 |                        10.58367 |                          9.19752 |                        12.34383 |                         10.76980 |                                    5.73191 |                                     6.72362 |                                    4.63003 |                                     4.84322 |                                    3.86722 |                                     3.97566 |                                    3.16421 |                                     3.32033 |                                    2.29451 |                                     2.61431 |
|         0.5 |        inf   |               4475 |                1237 |                     0.00415 |                      0.03225 |                     0.00038 |                      0.00141 |                     0.00010 |                      0.00037 |                     0.00003 |                      0.00010 |                     0.00000 |                      0.00002 |                              309.93956 |                               789.63851 |                              103.04090 |                               123.72862 |                               48.11986 |                                51.93217 |                               23.82165 |                                27.08655 |                                9.99416 |                                13.46490 |                         5.48491 |                          3.43429 |                         7.86284 |                          6.56283 |                         9.20705 |                          7.90187 |                        10.57926 |                          9.20864 |                        12.33974 |                         10.77370 |                                    5.73638 |                                     6.67158 |                                    4.63513 |                                     4.81809 |                                    3.87370 |                                     3.94994 |                                    3.17060 |                                     3.29904 |                                    2.30200 |                                     2.60009 |
|         0.6 |          0.5 |               4529 |                1183 |                     0.00413 |                      0.05040 |                     0.00037 |                      0.00244 |                     0.00010 |                      0.00063 |                     0.00002 |                      0.00018 |                     0.00000 |                      0.00003 |                              323.50075 |                              1238.91846 |                              102.25510 |                               207.45146 |                               47.25288 |                                84.73637 |                               23.19420 |                                45.44467 |                                9.71588 |                                21.20295 |                         5.49069 |                          2.98778 |                         7.91371 |                          6.01574 |                         9.25190 |                          7.36207 |                        10.62297 |                          8.63135 |                        12.38017 |                         10.26153 |                                    5.77920 |                                     7.12199 |                                    4.62747 |                                     5.33490 |                                    3.85551 |                                     4.43954 |                                    3.14390 |                                     3.81650 |                                    2.27376 |                                     3.05414 |
|         0.6 |          0.6 |               4748 |                 964 |                     0.00386 |                      0.04170 |                     0.00035 |                      0.00191 |                     0.00009 |                      0.00052 |                     0.00002 |                      0.00015 |                     0.00000 |                      0.00003 |                              312.80900 |                               577.70879 |                               97.68929 |                               121.57782 |                               46.62424 |                                54.64063 |                               23.07445 |                                31.17517 |                                9.73318 |                                15.24895 |                         5.55654 |                          3.17728 |                         7.96355 |                          6.26103 |                         9.30496 |                          7.56135 |                        10.67391 |                          8.79735 |                        12.42821 |                         10.37227 |                                    5.74559 |                                     6.35907 |                                    4.58179 |                                     4.80055 |                                    3.84212 |                                     4.00078 |                                    3.13873 |                                     3.43962 |                                    2.27554 |                                     2.72451 |
|         0.6 |          0.7 |               4860 |                 852 |                     0.00376 |                      0.03727 |                     0.00034 |                      0.00162 |                     0.00009 |                      0.00046 |                     0.00002 |                      0.00014 |                     0.00000 |                      0.00003 |                              299.40131 |                               468.21086 |                               95.12665 |                                97.23846 |                               46.11826 |                                43.72218 |                               23.05979 |                                25.09450 |                                9.62803 |                                12.91280 |                         5.58372 |                          3.28964 |                         7.98657 |                          6.42724 |                         9.32769 |                          7.68611 |                        10.69632 |                          8.89906 |                        12.45360 |                         10.42472 |                                    5.70178 |                                     6.14892 |                                    4.55521 |                                     4.57717 |                                    3.83121 |                                     3.77786 |                                    3.13809 |                                     3.22265 |                                    2.26468 |                                     2.55822 |
|         0.6 |          0.8 |               4889 |                 823 |                     0.00378 |                      0.03317 |                     0.00034 |                      0.00145 |                     0.00009 |                      0.00042 |                     0.00002 |                      0.00013 |                     0.00000 |                      0.00003 |                              295.12173 |                               371.88955 |                               95.28477 |                                82.92284 |                               45.99284 |                                38.57698 |                               23.04922 |                                21.92094 |                                9.56221 |                                11.76124 |                         5.57752 |                          3.40613 |                         7.99641 |                          6.53313 |                         9.33738 |                          7.76836 |                        10.70618 |                          8.98392 |                        12.46348 |                         10.47514 |                                    5.68739 |                                     5.91860 |                                    4.55687 |                                     4.41791 |                                    3.82849 |                                     3.65266 |                                    3.13763 |                                     3.08744 |                                    2.25782 |                                     2.46481 |
|         0.6 |          0.9 |               4924 |                 788 |                     0.00375 |                      0.03070 |                     0.00033 |                      0.00140 |                     0.00009 |                      0.00042 |                     0.00002 |                      0.00012 |                     0.00000 |                      0.00003 |                              304.10768 |                               366.14854 |                               96.47547 |                                79.40122 |                               46.05352 |                                38.21746 |                               22.95700 |                                21.06749 |                                9.50269 |                                11.33489 |                         5.58670 |                          3.48345 |                         8.01031 |                          6.57342 |                         9.35051 |                          7.77168 |                        10.71941 |                          8.99109 |                        12.47641 |                         10.47861 |                                    5.71738 |                                     5.90304 |                                    4.56929 |                                     4.37451 |                                    3.82980 |                                     3.64329 |                                    3.13362 |                                     3.04773 |                                    2.25158 |                                     2.42789 |
