|   RF cutoff |   GPR cutoff |   Points in-domain |   Points out-domain |   In-Domain RMSE test score |   Out-Domain RMSE test score |   In-Domain RMSE test score |   Out-Domain RMSE test score |   In-Domain RMSE test score |   Out-Domain RMSE test score |   In-Domain RMSE test score |   Out-Domain RMSE test score |   In-Domain RMSE test score |   Out-Domain RMSE test score |   In-Domain Normalized-RMSE test score |   Out-Domain Normalized-RMSE test score |   In-Domain Normalized-RMSE test score |   Out-Domain Normalized-RMSE test score |   In-Domain Normalized-RMSE test score |   Out-Domain Normalized-RMSE test score |   In-Domain Normalized-RMSE test score |   Out-Domain Normalized-RMSE test score |   In-Domain Normalized-RMSE test score |   Out-Domain Normalized-RMSE test score |   In-Domain Log-RMSE test score |   Out-Domain Log-RMSE test score |   In-Domain Log-RMSE test score |   Out-Domain Log-RMSE test score |   In-Domain Log-RMSE test score |   Out-Domain Log-RMSE test score |   In-Domain Log-RMSE test score |   Out-Domain Log-RMSE test score |   In-Domain Log-RMSE test score |   Out-Domain Log-RMSE test score |   In-Domain Normalized-Log-RMSE test score |   Out-Domain Normalized-Log-RMSE test score |   In-Domain Normalized-Log-RMSE test score |   Out-Domain Normalized-Log-RMSE test score |   In-Domain Normalized-Log-RMSE test score |   Out-Domain Normalized-Log-RMSE test score |   In-Domain Normalized-Log-RMSE test score |   Out-Domain Normalized-Log-RMSE test score |   In-Domain Normalized-Log-RMSE test score |   Out-Domain Normalized-Log-RMSE test score |
|-------------|--------------|--------------------|---------------------|-----------------------------|------------------------------|-----------------------------|------------------------------|-----------------------------|------------------------------|-----------------------------|------------------------------|-----------------------------|------------------------------|----------------------------------------|-----------------------------------------|----------------------------------------|-----------------------------------------|----------------------------------------|-----------------------------------------|----------------------------------------|-----------------------------------------|----------------------------------------|-----------------------------------------|---------------------------------|----------------------------------|---------------------------------|----------------------------------|---------------------------------|----------------------------------|---------------------------------|----------------------------------|---------------------------------|----------------------------------|--------------------------------------------|---------------------------------------------|--------------------------------------------|---------------------------------------------|--------------------------------------------|---------------------------------------------|--------------------------------------------|---------------------------------------------|--------------------------------------------|---------------------------------------------|
|         0.5 |          0.5 |               4096 |                1616 |                     0.00465 |                      0.04316 |                     0.00043 |                      0.00194 |                     0.00011 |                      0.00052 |                     0.00003 |                      0.00014 |                     0.00000 |                      0.00003 |                              336.87640 |                              1171.55509 |                              102.06902 |                               199.13839 |                               47.91511 |                                91.84122 |                               23.93640 |                                47.50247 |                                9.66502 |                                21.79161 |                         5.37193 |                          3.14281 |                         7.75958 |                          6.24468 |                         9.12196 |                          7.56917 |                        10.48110 |                          8.90928 |                        12.27060 |                         10.57061 |                                    5.81972 |                                     7.06609 |                                    4.62565 |                                     5.29400 |                                    3.86943 |                                     4.52006 |                                    3.17540 |                                     3.86078 |                                    2.26851 |                                     3.08153 |
|         0.5 |          0.6 |               4294 |                1418 |                     0.00430 |                      0.03899 |                     0.00040 |                      0.00172 |                     0.00010 |                      0.00045 |                     0.00003 |                      0.00012 |                     0.00000 |                      0.00002 |                              301.53511 |                               999.49679 |                              102.81984 |                               169.78769 |                               47.86824 |                                74.72387 |                               23.75470 |                                38.18329 |                                9.68299 |                                17.40406 |                         5.44989 |                          3.24446 |                         7.81968 |                          6.36481 |                         9.18041 |                          7.71135 |                        10.53950 |                          9.02392 |                        12.32670 |                         10.67357 |                                    5.70889 |                                     6.90725 |                                    4.63298 |                                     5.13455 |                                    3.86845 |                                     4.31380 |                                    3.16778 |                                     3.64240 |                                    2.27037 |                                     2.85670 |
|         0.5 |          0.7 |               4384 |                1328 |                     0.00426 |                      0.03535 |                     0.00040 |                      0.00154 |                     0.00010 |                      0.00041 |                     0.00003 |                      0.00011 |                     0.00000 |                      0.00002 |                              306.80761 |                               856.78199 |                              103.49398 |                               140.41852 |                               48.19227 |                                62.76613 |                               24.06826 |                                32.91702 |                                9.75757 |                                15.11496 |                         5.45748 |                          3.34232 |                         7.83328 |                          6.47627 |                         9.19433 |                          7.81072 |                        10.55361 |                          9.10684 |                        12.34149 |                         10.73893 |                                    5.72622 |                                     6.75318 |                                    4.63951 |                                     4.94463 |                                    3.87520 |                                     4.13942 |                                    3.18089 |                                     3.49399 |                                    2.27804 |                                     2.71569 |
|         0.5 |          0.8 |               4410 |                1302 |                     0.00428 |                      0.03317 |                     0.00039 |                      0.00145 |                     0.00010 |                      0.00038 |                     0.00003 |                      0.00011 |                     0.00000 |                      0.00002 |                              308.29743 |                               819.52005 |                              104.30501 |                               131.42276 |                               48.08721 |                                58.73328 |                               24.05405 |                                30.81176 |                                9.76532 |                                14.60678 |                         5.45454 |                          3.40603 |                         7.83820 |                          6.53896 |                         9.19994 |                          7.86539 |                        10.55921 |                          9.14931 |                        12.34640 |                         10.75543 |                                    5.73107 |                                     6.70872 |                                    4.64732 |                                     4.87842 |                                    3.87302 |                                     4.07301 |                                    3.18030 |                                     3.42790 |                                    2.27884 |                                     2.68149 |
|         0.5 |          0.9 |               4444 |                1268 |                     0.00426 |                      0.03131 |                     0.00039 |                      0.00140 |                     0.00010 |                      0.00037 |                     0.00003 |                      0.00010 |                     0.00000 |                      0.00002 |                              311.32422 |                               789.68640 |                              103.80456 |                               125.03102 |                               47.46941 |                                54.79289 |                               23.75982 |                                29.08623 |                                9.71022 |                                13.76362 |                         5.45888 |                          3.46368 |                         7.85211 |                          6.57029 |                         9.21440 |                          7.89346 |                        10.57343 |                          9.18097 |                        12.36149 |                         10.78277 |                                    5.74083 |                                     6.67164 |                                    4.64251 |                                     4.82856 |                                    3.86009 |                                     4.00356 |                                    3.16800 |                                     3.37026 |                                    2.27318 |                                     2.62203 |
|         0.5 |          1.0 |               4454 |                1258 |                     0.00421 |                      0.03144 |                     0.00039 |                      0.00141 |                     0.00010 |                      0.00037 |                     0.00003 |                      0.00010 |                     0.00000 |                      0.00002 |                              315.05411 |                               806.46899 |                              103.41950 |                               126.14936 |                               47.30288 |                                54.49136 |                               23.71180 |                                28.87849 |                                9.69937 |                                13.84713 |                         5.46974 |                          3.45952 |                         7.85675 |                          6.56659 |                         9.21951 |                          7.89099 |                        10.57791 |                          9.17809 |                        12.36602 |                         10.77491 |                                    5.75274 |                                     6.69267 |                                    4.63879 |                                     4.83747 |                                    3.85657 |                                     3.99804 |                                    3.16597 |                                     3.36310 |                                    2.27206 |                                     2.62808 |
|         0.5 |          1.1 |               4459 |                1253 |                     0.00422 |                      0.03130 |                     0.00039 |                      0.00139 |                     0.00010 |                      0.00037 |                     0.00003 |                      0.00010 |                     0.00000 |                      0.00002 |                              315.45559 |                               789.33867 |                              103.48325 |                               123.18155 |                               47.49982 |                                53.25961 |                               23.81254 |                                28.36828 |                                9.71548 |                                13.48742 |                         5.46862 |                          3.46428 |                         7.85528 |                          6.57509 |                         9.21826 |                          7.90359 |                        10.57608 |                          9.18873 |                        12.36428 |                         10.79352 |                                    5.75402 |                                     6.67120 |                                    4.63941 |                                     4.81366 |                                    3.86073 |                                     3.97518 |                                    3.17021 |                                     3.34527 |                                    2.27372 |                                     2.60176 |
|         0.6 |          0.5 |               4531 |                1181 |                     0.00418 |                      0.04985 |                     0.00037 |                      0.00241 |                     0.00009 |                      0.00066 |                     0.00002 |                      0.00018 |                     0.00000 |                      0.00003 |                              327.38075 |                              1220.37055 |                              103.17675 |                               205.34564 |                               46.46299 |                                88.12330 |                               23.16949 |                                45.04626 |                                9.44076 |                                21.07925 |                         5.47734 |                          2.99873 |                         7.90789 |                          6.02906 |                         9.26886 |                          7.32632 |                        10.62618 |                          8.63965 |                        12.41120 |                         10.26600 |                                    5.79112 |                                     7.10691 |                                    4.63644 |                                     5.32469 |                                    3.83866 |                                     4.47874 |                                    3.14284 |                                     3.80769 |                                    2.24504 |                                     3.04829 |
|         0.6 |          0.6 |               4751 |                 961 |                     0.00389 |                      0.04155 |                     0.00035 |                      0.00193 |                     0.00009 |                      0.00052 |                     0.00002 |                      0.00015 |                     0.00000 |                      0.00003 |                              312.08068 |                               562.66430 |                               97.24179 |                               121.50150 |                               45.77211 |                                54.61100 |                               22.88903 |                                30.04391 |                                9.38596 |                                14.08365 |                         5.54872 |                          3.18086 |                         7.96523 |                          6.25053 |                         9.32368 |                          7.55723 |                        10.68267 |                          8.83009 |                        12.46558 |                         10.44981 |                                    5.74326 |                                     6.33268 |                                    4.57720 |                                     4.79993 |                                    3.82367 |                                     4.00024 |                                    3.13066 |                                     3.40266 |                                    2.23922 |                                     2.64501 |
