|   RF cutoff |   GPR cutoff |   Points in-domain |   Points out-domain |   In-Domain RMSE test score |   Out-Domain RMSE test score |   In-Domain RMSE test score |   Out-Domain RMSE test score |   In-Domain RMSE test score |   Out-Domain RMSE test score |   In-Domain RMSE test score |   Out-Domain RMSE test score |   In-Domain RMSE test score |   Out-Domain RMSE test score |
|-------------|--------------|--------------------|---------------------|-----------------------------|------------------------------|-----------------------------|------------------------------|-----------------------------|------------------------------|-----------------------------|------------------------------|-----------------------------|------------------------------|
|         0.5 |          0.5 |               4095 |                1617 |                     0.00424 |                      0.04507 |                     0.00043 |                      0.00203 |                     0.00011 |                      0.00052 |                     0.00003 |                      0.00014 |                     0.00001 |                      0.00003 |
|         0.5 |          0.6 |               4293 |                1419 |                     0.00399 |                      0.03992 |                     0.00041 |                      0.00173 |                     0.00011 |                      0.00045 |                     0.00003 |                      0.00012 |                     0.00000 |                      0.00003 |
|         0.5 |          0.7 |               4380 |                1332 |                     0.00398 |                      0.03666 |                     0.00041 |                      0.00158 |                     0.00010 |                      0.00041 |                     0.00003 |                      0.00012 |                     0.00000 |                      0.00002 |
|         0.5 |          0.8 |               4408 |                1304 |                     0.00398 |                      0.03418 |                     0.00040 |                      0.00150 |                     0.00010 |                      0.00039 |                     0.00003 |                      0.00011 |                     0.00000 |                      0.00002 |
|         0.5 |          0.9 |               4441 |                1271 |                     0.00395 |                      0.03267 |                     0.00040 |                      0.00144 |                     0.00010 |                      0.00038 |                     0.00003 |                      0.00011 |                     0.00000 |                      0.00002 |
|         0.5 |          1.0 |               4453 |                1259 |                     0.00389 |                      0.03281 |                     0.00039 |                      0.00145 |                     0.00010 |                      0.00038 |                     0.00003 |                      0.00011 |                     0.00000 |                      0.00002 |
|         0.5 |          1.1 |               4460 |                1252 |                     0.00390 |                      0.03226 |                     0.00040 |                      0.00142 |                     0.00010 |                      0.00038 |                     0.00003 |                      0.00011 |                     0.00000 |                      0.00002 |
|         0.6 |          0.5 |               4535 |                1177 |                     0.00400 |                      0.04728 |                     0.00038 |                      0.00233 |                     0.00010 |                      0.00060 |                     0.00003 |                      0.00016 |                     0.00000 |                      0.00003 |
|         0.6 |          0.6 |               4757 |                 955 |                     0.00378 |                      0.03799 |                     0.00036 |                      0.00176 |                     0.00009 |                      0.00046 |                     0.00002 |                      0.00014 |                     0.00000 |                      0.00003 |
|         0.6 |          0.7 |               4860 |                 852 |                     0.00372 |                      0.03329 |                     0.00035 |                      0.00148 |                     0.00009 |                      0.00040 |                     0.00002 |                      0.00012 |                     0.00000 |                      0.00003 |
|         0.6 |          0.8 |               4889 |                 823 |                     0.00374 |                      0.03004 |                     0.00035 |                      0.00137 |                     0.00009 |                      0.00037 |                     0.00002 |                      0.00012 |                     0.00000 |                      0.00003 |
|         0.6 |          0.9 |               4924 |                 788 |                     0.00372 |                      0.02765 |                     0.00035 |                      0.00130 |                     0.00009 |                      0.00035 |                     0.00002 |                      0.00011 |                     0.00000 |                      0.00003 |
|         0.6 |          1.0 |               4939 |                 773 |                     0.00367 |                      0.02721 |                     0.00035 |                      0.00127 |                     0.00009 |                      0.00035 |                     0.00002 |                      0.00011 |                     0.00000 |                      0.00003 |
|         0.6 |          1.1 |               4948 |                 764 |                     0.00368 |                      0.02642 |                     0.00035 |                      0.00122 |                     0.00009 |                      0.00034 |                     0.00002 |                      0.00011 |                     0.00000 |                      0.00003 |
|         0.7 |          0.5 |               4803 |                 909 |                     0.00377 |                      0.05784 |                     0.00035 |                      0.00295 |                     0.00009 |                      0.00078 |                     0.00002 |                      0.00021 |                     0.00000 |                      0.00004 |
|         0.7 |          0.6 |               5047 |                 665 |                     0.00351 |                      0.04635 |                     0.00033 |                      0.00233 |                     0.00009 |                      0.00062 |                     0.00002 |                      0.00018 |                     0.00000 |                      0.00004 |
|         0.7 |          0.7 |               5179 |                 533 |                     0.00340 |                      0.03654 |                     0.00032 |                      0.00169 |                     0.00008 |                      0.00048 |                     0.00002 |                      0.00015 |                     0.00000 |                      0.00004 |
