|   RF cutoff |   GPR cutoff |   Points in-domain |   Points out-domain |   In-Domain MetricOne test score |   Out-Domain MetricOne test score |   In-Domain MetricTwo test score |   Out-Domain MetricTwo test score |
|-------------|--------------|--------------------|---------------------|----------------------------------|-----------------------------------|----------------------------------|-----------------------------------|
|         0.5 |          0.5 |               4066 |                1646 |                          0.28744 |                           0.86384 |                          0.43286 |                           1.27582 |
|         0.5 |          0.6 |               4268 |                1444 |                          0.31484 |                           0.86349 |                          0.53421 |                           1.09418 |
|         0.5 |          0.7 |               4357 |                1355 |                          0.31845 |                           0.88792 |                          0.53707 |                           1.12177 |
|         0.5 |          0.8 |               4385 |                1327 |                          0.31784 |                           0.90194 |                          0.53364 |                           1.14544 |
|         0.5 |          0.9 |               4418 |                1294 |                          0.31901 |                           0.91287 |                          0.53418 |                           1.15920 |
|         0.5 |          1.0 |               4429 |                1283 |                          0.32315 |                           0.90364 |                          0.53285 |                           1.16913 |
|         0.5 |          1.1 |               4435 |                1277 |                          0.32272 |                           0.90789 |                          0.53213 |                           1.17463 |
|         0.5 |        inf   |               4444 |                1268 |                          0.32206 |                           0.91433 |                          0.53105 |                           1.18297 |
|         0.6 |          0.5 |               4511 |                1201 |                          0.32213 |                           0.94713 |                          0.43893 |                           1.56536 |
|         0.6 |          0.6 |               4731 |                 981 |                          0.34744 |                           0.96521 |                          0.53266 |                           1.36595 |
|         0.6 |          0.7 |               4844 |                 868 |                          0.36127 |                           0.96846 |                          0.57803 |                           1.22120 |
|         0.6 |          0.8 |               4873 |                 839 |                          0.36040 |                           0.99449 |                          0.57459 |                           1.26341 |
|         0.6 |          0.9 |               4908 |                 804 |                          0.36102 |                           1.01835 |                          0.57457 |                           1.29353 |
|         0.6 |          1.0 |               4921 |                 791 |                          0.36514 |                           1.00348 |                          0.57305 |                           1.31479 |
|         0.6 |          1.1 |               4930 |                 782 |                          0.36448 |                           1.01503 |                          0.57201 |                           1.32992 |
|         0.6 |        inf   |               4943 |                 769 |                          0.36352 |                           1.03218 |                          0.57050 |                           1.35241 |
|         0.7 |          0.5 |               4783 |                 929 |                          0.34301 |                           1.02260 |                          0.46833 |                           1.74381 |
|         0.7 |          0.6 |               5026 |                 686 |                          0.37306 |                           1.04319 |                          0.56904 |                           1.45773 |
|         0.7 |          0.7 |               5157 |                 555 |                          0.38540 |                           1.08671 |                          0.60888 |                           1.29730 |
|         0.7 |          0.8 |               5186 |                 526 |                          0.38445 |                           1.13474 |                          0.60548 |                           1.36882 |
|         0.7 |          0.9 |               5226 |                 486 |                          0.38629 |                           1.17670 |                          0.60467 |                           1.44033 |
|         0.7 |          1.0 |               5241 |                 471 |                          0.38995 |                           1.16109 |                          0.60294 |                           1.48620 |
|         0.7 |          1.1 |               5252 |                 460 |                          0.38914 |                           1.18886 |                          0.60168 |                           1.52174 |
|         0.7 |        inf   |               5265 |                 447 |                          0.38818 |                           1.22343 |                          0.60019 |                           1.56600 |
|         0.8 |          0.5 |               4948 |                 764 |                          0.36189 |                           1.04712 |                          0.50525 |                           1.78010 |
|         0.8 |          0.6 |               5207 |                 505 |                          0.39310 |                           1.07673 |                          0.60688 |                           1.38614 |
|         0.8 |          0.7 |               5347 |                 365 |                          0.40560 |                           1.15582 |                          0.64335 |                         -10.00000 |
|         0.8 |          0.8 |               5376 |                 336 |                          0.40458 |                           1.23698 |                          0.63988 |                         -10.00000 |
|         0.8 |          0.9 |               5421 |                 291 |                          0.40814 |                           1.29940 |                          0.64564 |                         -10.00000 |
|         0.8 |          1.0 |               5436 |                 276 |                          0.41161 |                           1.27944 |                          0.64386 |                         -10.00000 |
|         0.8 |          1.1 |               5447 |                 265 |                          0.41078 |                           1.33255 |                          0.64256 |                         -10.00000 |
|         0.8 |        inf   |               5460 |                 252 |                          0.40980 |                           1.40129 |                          0.64103 |                         -10.00000 |
|         0.9 |          0.5 |               5057 |                 655 |                          0.38313 |                           0.99714 |                          0.53787 |                           1.74046 |
|         0.9 |          0.6 |               5319 |                 393 |                          0.41244 |                           1.00986 |                          0.63546 |                         -10.00000 |
|         0.9 |          0.7 |               5463 |                 249 |                          0.42445 |                           1.09187 |                          0.66996 |                         -10.00000 |
|         0.9 |          0.8 |               5492 |                 220 |                          0.42334 |                           1.20739 |                          0.66642 |                         -10.00000 |
|         0.9 |          0.9 |               5538 |                 174 |                          0.42660 |                           1.31106 |                          0.67172 |                         -10.00000 |
|         0.9 |          1.0 |               5553 |                 159 |                          0.42995 |                           1.27752 |                          0.66991 |                         -10.00000 |
