|   RF cutoff |   GPR cutoff |   Points in-domain |   Points out-domain |   In-Domain RMSE test score |   Out-Domain RMSE test score |   In-Domain Shapiro-Wilk test score |   Out-Domain Shapiro-Wilk test score |   In-Domain DAgostino-Pearson test score |   Out-Domain DAgostino-Pearson test score |
|-------------|--------------|--------------------|---------------------|-----------------------------|------------------------------|-------------------------------------|--------------------------------------|------------------------------------------|-------------------------------------------|
|         0.5 |          0.5 |               3936 |                1776 |                     0.01184 |                      0.01938 |                             0.00000 |                              0.00000 |                                  0.00000 |                                   0.00000 |
|         0.5 |          0.6 |               4129 |                1583 |                     0.01164 |                      0.01618 |                             0.00000 |                              0.00000 |                                  0.00000 |                                   0.00000 |
|         0.5 |          0.7 |               4216 |                1496 |                     0.01159 |                      0.01560 |                             0.00000 |                              0.00000 |                                  0.00000 |                                   0.00000 |
|         0.5 |          0.8 |               4241 |                1471 |                     0.01157 |                      0.01534 |                             0.00000 |                              0.00000 |                                  0.00000 |                                   0.00000 |
|         0.5 |          0.9 |               4274 |                1438 |                     0.01153 |                      0.01509 |                             0.00000 |                              0.00000 |                                  0.00000 |                                   0.00000 |
|         0.5 |          1.0 |               4283 |                1429 |                     0.01152 |                      0.01512 |                             0.00000 |                              0.00000 |                                  0.00000 |                                   0.00000 |
|         0.5 |          1.1 |               4290 |                1422 |                     0.01153 |                      0.01503 |                             0.00000 |                              0.00000 |                                  0.00000 |                                   0.00000 |
|         0.6 |          0.5 |               4408 |                1304 |                     0.01136 |                      0.02063 |                             0.00000 |                              0.00000 |                                  0.00000 |                                   0.00000 |
|         0.6 |          0.6 |               4619 |                1093 |                     0.01119 |                      0.01654 |                             0.00000 |                              0.00000 |                                  0.00000 |                                   0.00000 |
|         0.6 |          0.7 |               4723 |                 989 |                     0.01111 |                      0.01581 |                             0.00000 |                              0.00000 |                                  0.00000 |                                   0.00000 |
|         0.6 |          0.8 |               4752 |                 960 |                     0.01109 |                      0.01525 |                             0.00000 |                              0.00000 |                                  0.00000 |                                   0.00000 |
|         0.6 |          0.9 |               4787 |                 925 |                     0.01107 |                      0.01484 |                             0.00000 |                              0.00000 |                                  0.00000 |                                   0.00000 |
|         0.6 |          1.0 |               4801 |                 911 |                     0.01105 |                      0.01468 |                             0.00000 |                              0.00000 |                                  0.00000 |                                   0.00000 |
|         0.6 |          1.1 |               4810 |                 902 |                     0.01106 |                      0.01443 |                             0.00000 |                              0.00000 |                                  0.00000 |                                   0.00000 |
|         0.7 |          0.5 |               4718 |                 994 |                     0.01113 |                      0.02302 |                             0.00000 |                              0.00000 |                                  0.00000 |                                   0.00000 |
|         0.7 |          0.6 |               4949 |                 763 |                     0.01096 |                      0.01646 |                             0.00000 |                              0.00000 |                                  0.00000 |                                   0.00000 |
|         0.7 |          0.7 |               5076 |                 636 |                     0.01085 |                      0.01498 |                             0.00000 |                              0.00000 |                                  0.00000 |                                   0.00000 |
|         0.7 |          0.8 |               5105 |                 607 |                     0.01084 |                      0.01421 |                             0.00000 |                              0.00000 |                                  0.00000 |                                   0.00000 |
|         0.7 |          0.9 |               5146 |                 566 |                     0.01081 |                      0.01362 |                             0.00000 |                              0.00000 |                                  0.00000 |                                   0.00000 |
|         0.7 |          1.0 |               5161 |                 551 |                     0.01080 |                      0.01331 |                             0.00000 |                              0.00000 |                                  0.00000 |                                   0.00000 |
|         0.7 |          1.1 |               5171 |                 541 |                     0.01081 |                      0.01285 |                             0.00000 |                              0.00000 |                                  0.00000 |                                   0.00000 |
|         0.8 |          0.5 |               4912 |                 800 |                     0.01099 |                      0.02584 |                             0.00000 |                              0.00000 |                                  0.00000 |                                   0.00000 |
|         0.8 |          0.6 |               5166 |                 546 |                     0.01080 |                      0.01754 |                             0.00000 |                              0.00000 |                                  0.00000 |                                   0.00000 |
|         0.8 |          0.7 |               5302 |                 410 |                     0.01070 |                      0.01357 |                             0.00000 |                              0.00000 |                                  0.00000 |                                   0.00000 |
|         0.8 |          0.8 |               5331 |                 381 |                     0.01069 |                      0.01261 |                             0.00000 |                              0.00000 |                                  0.00000 |                                   0.00000 |
|         0.8 |          0.9 |               5374 |                 338 |                     0.01066 |                      0.01155 |                             0.00000 |                              0.00000 |                                  0.00000 |                                   0.00000 |
|         0.8 |          1.0 |               5389 |                 323 |                     0.01065 |                      0.01113 |                             0.00000 |                              0.00000 |                                  0.00000 |                                   0.00000 |
|         0.8 |          1.1 |               5400 |                 312 |                     0.01066 |                      0.01036 |                             0.00000 |                              0.00000 |                                  0.00000 |                                   0.00000 |
|         0.9 |          0.5 |               5033 |                 679 |                     0.01089 |                      0.02880 |                             0.00000 |                              0.00000 |                                  0.00000 |                                   0.00000 |
|         0.9 |          0.6 |               5294 |                 418 |                     0.01070 |                      0.02013 |                             0.00000 |                              0.00000 |                                  0.00000 |                                   0.00000 |
|         0.9 |          0.7 |               5437 |                 275 |                     0.01060 |                      0.01504 |                             0.00000 |                              0.00000 |                                  0.00000 |                                   0.00001 |
|         0.9 |          0.8 |               5466 |                 246 |                     0.01059 |                      0.01367 |                             0.00000 |                              0.00000 |                                  0.00000 |                                   0.00019 |
|         0.9 |          0.9 |               5511 |                 201 |                     0.01055 |                      0.01212 |                             0.00000 |                              0.00000 |                                  0.00000 |                                   0.00129 |
|         0.9 |          1.0 |               5526 |                 186 |                     0.01054 |                      0.01144 |                             0.00000 |                              0.00000 |                                  0.00000 |                                   0.00187 |
|         0.9 |          1.1 |               5537 |                 175 |                     0.01055 |                      0.01030 |                             0.00000 |                              0.00001 |                                  0.00000 |                                   0.00657 |
|         1.0 |          0.5 |               5116 |                 596 |                     0.01074 |                      0.03307 |                             0.00000 |                              0.00000 |                                  0.00000 |                                   0.00000 |
|         1.0 |          0.6 |               5379 |                 333 |                     0.01056 |                      0.02542 |                             0.00000 |                              0.00000 |                                  0.00000 |                                   0.00000 |
|         1.0 |          0.7 |               5526 |                 186 |                     0.01045 |                      0.01566 |                             0.00000 |                              0.00000 |                                  0.00000 |                                   0.00024 |
|         1.0 |          0.8 |               5555 |                 157 |                     0.01045 |                      0.01468 |                             0.00000 |                              0.00000 |                                  0.00000 |                                   0.00116 |
|         1.0 |          0.9 |               5601 |                 111 |                     0.01041 |                      0.01539 |                             0.00000 |                              0.00000 |                                  0.00000 |                                   0.00721 |
|         1.0 |          1.0 |               5616 |                  96 |                     0.01040 |                      0.01435 |                             0.00000 |                              0.00000 |                                  0.00000 |                                   0.00924 |
|         1.0 |          1.1 |               5627 |                  85 |                     0.01041 |                      0.01121 |                             0.00000 |                              0.00022 |                                  0.00000 |                                   0.03354 |
|         1.1 |          0.5 |               5136 |                 576 |                     0.01070 |                      0.03436 |                             0.00000 |                              0.00000 |                                  0.00000 |                                   0.00000 |
|         1.1 |          0.6 |               5399 |                 313 |                     0.01053 |                      0.02708 |                             0.00000 |                              0.00000 |                                  0.00000 |                                   0.00000 |
|         1.1 |          0.7 |               5551 |                 161 |                     0.01041 |                      0.01458 |                             0.00000 |                              0.00000 |                                  0.00000 |                                   0.00080 |
|         1.1 |          0.8 |               5580 |                 132 |                     0.01040 |                      0.01428 |                             0.00000 |                              0.00000 |                                  0.00000 |                                   0.00141 |
|         1.1 |          0.9 |               5627 |                  85 |                     0.01037 |                      0.01519 |                             0.00000 |                              0.00000 |                                  0.00000 |                                   0.00215 |
|         1.1 |          1.0 |               5642 |                  70 |                     0.01036 |                      0.01451 |                             0.00000 |                              0.00002 |                                  0.00000 |                                   0.01942 |
|         1.1 |          1.1 |               5653 |                  59 |                     0.01037 |                      0.01157 |                             0.00000 |                              0.00111 |                                  0.00000 |                                   0.03072 |
