|   RF cutoff |   GPR cutoff |   Points in-domain |   Points out-domain |   In-Domain RMSE test score |   Out-Domain RMSE test score |   In-Domain Shapiro-Wilk test score |   Out-Domain Shapiro-Wilk test score |   In-Domain DAgostino-Pearson test score |   Out-Domain DAgostino-Pearson test score |
|-------------|--------------|--------------------|---------------------|-----------------------------|------------------------------|-------------------------------------|--------------------------------------|------------------------------------------|-------------------------------------------|
|         0.5 |          0.5 |               4059 |                1653 |                     0.01229 |                      0.02109 |                             0.00000 |                              0.00000 |                                  0.00000 |                                   0.00000 |
|         0.5 |          0.6 |               4253 |                1459 |                     0.01210 |                      0.01564 |                             0.00000 |                              0.00000 |                                  0.00000 |                                   0.00000 |
|         0.5 |          0.7 |               4340 |                1372 |                     0.01207 |                      0.01513 |                             0.00000 |                              0.00000 |                                  0.00000 |                                   0.00000 |
|         0.5 |          0.8 |               4368 |                1344 |                     0.01205 |                      0.01478 |                             0.00000 |                              0.00000 |                                  0.00000 |                                   0.00000 |
|         0.5 |          0.9 |               4402 |                1310 |                     0.01202 |                      0.01449 |                             0.00000 |                              0.00000 |                                  0.00000 |                                   0.00000 |
|         0.5 |          1.0 |               4415 |                1297 |                     0.01200 |                      0.01450 |                             0.00000 |                              0.00000 |                                  0.00000 |                                   0.00000 |
|         0.5 |          1.1 |               4421 |                1291 |                     0.01201 |                      0.01444 |                             0.00000 |                              0.00000 |                                  0.00000 |                                   0.00000 |
|         0.6 |          0.5 |               4491 |                1221 |                     0.01193 |                      0.02268 |                             0.00000 |                              0.00000 |                                  0.00000 |                                   0.00000 |
|         0.6 |          0.6 |               4708 |                1004 |                     0.01175 |                      0.01617 |                             0.00000 |                              0.00000 |                                  0.00000 |                                   0.00000 |
|         0.6 |          0.7 |               4812 |                 900 |                     0.01169 |                      0.01543 |                             0.00000 |                              0.00000 |                                  0.00000 |                                   0.00000 |
|         0.6 |          0.8 |               4841 |                 871 |                     0.01168 |                      0.01487 |                             0.00000 |                              0.00000 |                                  0.00000 |                                   0.00000 |
|         0.6 |          0.9 |               4879 |                 833 |                     0.01165 |                      0.01433 |                             0.00000 |                              0.00000 |                                  0.00000 |                                   0.00000 |
|         0.6 |          1.0 |               4894 |                 818 |                     0.01163 |                      0.01422 |                             0.00000 |                              0.00000 |                                  0.00000 |                                   0.00000 |
|         0.6 |          1.1 |               4904 |                 808 |                     0.01164 |                      0.01397 |                             0.00000 |                              0.00000 |                                  0.00000 |                                   0.00000 |
|         0.7 |          0.5 |               4807 |                 905 |                     0.01172 |                      0.02589 |                             0.00000 |                              0.00000 |                                  0.00000 |                                   0.00000 |
|         0.7 |          0.6 |               5045 |                 667 |                     0.01153 |                      0.01765 |                             0.00000 |                              0.00000 |                                  0.00000 |                                   0.00000 |
|         0.7 |          0.7 |               5178 |                 534 |                     0.01145 |                      0.01525 |                             0.00000 |                              0.00000 |                                  0.00000 |                                   0.00000 |
|         0.7 |          0.8 |               5207 |                 505 |                     0.01144 |                      0.01441 |                             0.00000 |                              0.00000 |                                  0.00000 |                                   0.00000 |
|         0.7 |          0.9 |               5251 |                 461 |                     0.01140 |                      0.01349 |                             0.00000 |                              0.00000 |                                  0.00000 |                                   0.00000 |
